RecordingTime [ms],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px]
1744133121287,299,340,249,340
1744133121332,299,340,248,340
1744133121385,299,341,248,341
1744133121437,299,341,248,341
1744133121480,298,340,249,340
1744133121536,299,340,248,340
1744133121570,299,340,249,340
1744133121613,299,340,249,340
1744133121663,299,340,249,340
1744133121726,299,340,249,340
1744133121767,299,340,249,340
1744133121815,299,340,249,340
1744133121877,299,340,249,340
1744133121941,299,340,249,340
1744133121988,299,340,249,340
1744133122038,299,340,249,340
1744133122083,299,340,248,340
1744133122137,299,340,248,340
1744133122180,299,341,248,340
1744133122232,299,341,248,340
1744133122313,299,341,248,340
1744133122391,299,341,248,340
1744133122461,299,340,248,340
1744133122550,299,341,249,340
1744133122640,299,341,249,340
1744133122755,299,341,249,341
1744133122862,299,341,248,340
