RecordingTime [ms],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px]
1744147956.9352937,335,365,247,351
1744147956.9837642,344,364,246,351
1744147957.0526366,344,364,246,351
1744147957.0984464,344,364,246,351
1744147957.126058,344,364,246,351
1744147957.1590679,344,364,246,351
1744147957.1946404,329,364,247,351
1744147957.2280617,329,364,247,351
1744147957.2769167,336,365,246,350
1744147957.313838,336,365,246,350
1744147957.3504553,336,365,247,351
1744147957.3834531,336,365,247,351
1744147957.4165232,343,364,246,351
1744147957.451657,343,364,246,351
1744147957.4878607,344,364,245,351
1744147957.523213,344,364,245,351
1744147957.5570183,335,365,246,351
1744147957.588191,335,365,246,351
1744147957.6241064,335,365,246,351
1744147957.6584654,335,365,246,351
1744147957.688585,342,364,246,351
1744147957.7291071,342,364,246,351
1744147957.7552137,335,365,246,351
1744147957.798766,335,365,246,351
1744147957.8326054,335,365,246,351
1744147957.8686368,335,365,246,351
1744147957.9013908,334,365,245,351
1744147957.938955,334,365,245,351
1744147957.972482,335,365,245,351
1744147958.0088913,335,365,245,351
1744147958.0428836,334,365,245,351
1744147958.0814748,334,365,245,351
1744147958.1028895,334,366,246,352
1744147958.1484156,334,366,246,352
1744147958.1840346,335,366,245,352
1744147958.2555394,335,366,246,352
1744147958.28737,335,366,246,352
1744147958.3192801,334,366,245,352
1744147958.3611975,334,366,245,352
1744147958.3975472,334,367,246,354
1744147958.4302905,334,367,246,354
1744147958.4676924,332,365,247,354
1744147958.5021396,332,365,247,354
1744147958.5316947,334,366,246,353
1744147958.5645616,334,366,246,353
1744147958.61038,334,366,245,352
1744147958.6449695,334,366,245,352
1744147958.684774,333,367,245,353
1744147958.7183027,333,367,245,353
1744147958.746027,332,367,245,353
1744147958.7889051,332,367,245,353
1744147958.8207276,333,367,244,353
1744147958.8561056,333,367,244,353
1744147958.891038,333,367,244,353
1744147958.9195921,333,367,244,353
1744147958.9551516,333,367,244,353
1744147958.9988499,333,367,244,353
1744147959.0324082,333,368,244,354
1744147959.0727718,333,368,244,354
1744147959.1031098,333,368,245,353
1744147959.1433735,333,368,245,353
1744147959.1765661,333,367,244,353
1744147959.2014394,333,367,244,353
1744147959.2438712,334,368,244,354
1744147959.2767003,334,368,244,354
1744147959.3107257,333,368,244,354
1744147959.3486955,333,368,244,354
1744147959.384111,328,366,247,356
1744147959.4599764,330,368,246,355
1744147959.4955719,330,368,246,355
1744147959.5330079,333,368,245,354
1744147959.5665054,333,368,245,354
1744147959.6019914,333,368,244,353
1744147959.637568,333,368,244,353
1744147959.674501,332,367,243,353
1744147959.7085226,332,367,243,353
1744147959.7431529,333,368,244,353
1744147959.7781484,333,368,244,353
1744147959.8136804,331,368,243,353
1744147959.8492787,331,368,243,353
1744147959.883039,330,369,242,354
1744147959.908291,330,369,242,354
1744147959.9503226,331,370,242,354
1744147959.9838004,331,370,242,354
1744147960.048814,329,370,244,356
1744147960.1093795,329,370,244,356
1744147960.1684647,328,367,244,355
1744147960.210678,331,369,242,354
1744147960.2766764,331,369,242,354
1744147960.31809,331,369,242,354
1744147960.3939865,331,369,242,354
1744147960.4520488,330,370,242,354
1744147960.5318158,330,370,241,354
1744147960.5943894,330,370,241,354
1744147960.6515944,329,370,240,355
1744147960.7324631,329,371,240,355
1744147960.7755017,329,371,240,355
1744147960.8520234,328,370,240,355
1744147960.902684,328,370,240,355
1744147960.9344695,328,370,240,355
1744147960.9683042,328,370,240,356
1744147961.0026002,328,370,240,356
1744147961.0358188,328,371,240,356
