RecordingTime [ms],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px]
1745248648.4577034,324,282,230,280
1745248648.5045664,323,280,229,279
1745248648.5467541,322,280,229,278
1745248648.6149151,321,278,228,277
1745248648.6692085,320,277,228,276
1745248648.712033,321,276,227,274
1745248648.7583203,318,276,225,274
1745248648.8019826,318,276,224,274
1745248648.853819,318,275,223,274
1745248648.9021437,317,274,223,274
1745248648.9802759,317,274,222,273
1745248649.068606,316,275,221,275
1745248649.1247725,316,275,221,275
1745248649.1698716,315,275,221,275
1745248649.2237015,315,276,221,276
1745248649.288845,315,275,222,276
1745248649.3367069,316,275,222,275
1745248649.3808768,317,275,223,275
1745248649.430232,318,275,223,275
1745248649.494855,318,276,223,275
1745248649.5542874,318,276,223,276
1745248649.595979,317,277,222,276
1745248649.6473475,317,277,222,277
1745248649.71221,317,277,221,276
1745248649.7679017,318,277,223,276
1745248649.835099,318,277,222,276
1745248649.8901963,318,277,223,276
1745248649.9630551,317,277,222,275
1745248650.026894,317,276,222,275
1745248650.069292,317,275,222,274
1745248650.1345873,317,276,222,274
1745248650.1799214,318,277,223,276
1745248650.2512412,319,275,224,274
1745248650.3031054,319,276,224,274
1745248650.3598623,319,278,224,276
1745248650.4189944,319,279,224,277
1745248650.4651318,319,277,224,275
1745248650.523183,319,277,224,276
1745248650.5596173,319,278,223,276
1745248650.6204531,318,278,223,276
1745248650.6651196,318,278,223,277
1745248650.7029219,317,278,222,277
1745248650.7710195,316,277,221,276
1745248650.8263586,315,277,220,276
1745248650.87512,315,277,219,276
1745248650.9255486,315,277,218,277
1745248650.972837,313,278,218,277
1745248651.0287843,313,278,217,277
1745248651.0757778,312,276,217,276
1745248651.1142201,312,278,217,277
1745248651.172431,312,278,217,277
1745248651.2310402,312,276,217,276
1745248651.2788298,312,276,217,275
1745248651.3350894,312,276,217,275
1745248651.3932576,312,276,217,275
1745248651.4427855,313,276,217,275
1745248651.4973793,313,276,218,275
1745248651.5448263,313,277,218,277
1745248651.5884933,314,277,219,276
1745248651.6473713,313,278,219,276
1745248651.7191014,313,278,219,276
1745248651.7712862,313,277,218,275
1745248651.8278444,311,276,217,275
1745248651.8706288,311,277,217,276
1745248651.9264028,311,277,217,276
1745248651.976651,311,276,217,276
1745248652.0670629,310,276,217,275
1745248652.112162,309,276,215,275
1745248652.1561544,309,276,214,275
1745248652.2100582,309,275,215,275
1745248652.2658844,309,275,214,274
1745248652.3202732,309,274,215,274
1745248652.3702092,308,275,213,275
1745248652.4281082,307,275,213,274
1745248652.4708962,307,274,212,274
1745248652.5350108,307,274,213,273
1745248652.5829215,306,274,212,274
1745248652.6441467,305,274,211,273
1745248652.7013624,304,273,209,273
1745248652.74975,304,273,210,273
1745248652.7971015,304,273,209,272
1745248652.8461354,303,273,209,273
1745248652.893883,303,273,209,272
1745248652.964292,304,271,209,270
1745248653.0132172,304,270,210,269
1745248653.0588214,304,269,209,269
1745248653.1048138,304,270,210,270
1745248653.1641746,306,271,211,270
1745248653.2272604,306,269,212,269
1745248653.2736595,306,269,211,268
1745248653.3465743,306,269,212,269
1745248653.4087415,308,270,214,269
1745248653.451989,308,268,214,267
1745248653.5162857,308,267,215,265
1745248653.5670598,308,266,215,265
1745248653.6117473,309,266,215,262
1745248653.6559215,310,264,215,260
1745248653.7127657,309,261,215,258
1745248653.7757516,309,262,215,258
1745248653.8304844,309,263,216,259
1745248653.887396,310,265,217,261
1745248653.9570432,312,267,218,263
1745248654.0172935,312,268,220,265
1745248654.0793457,314,270,219,266
1745248654.1346476,316,271,222,268
1745248654.200251,316,272,223,269
1745248654.2685878,316,272,222,270
1745248654.3168602,316,273,223,271
1745248654.3674781,316,273,223,270
1745248654.4321482,317,273,223,270
1745248654.484086,316,273,223,271
1745248654.54249,316,274,223,272
1745248654.5985065,316,274,223,271
1745248654.660347,316,274,223,271
1745248654.7029536,316,274,223,271
1745248654.777082,315,274,222,272
1745248654.832752,315,274,221,271
1745248654.88401,314,273,220,271
1745248654.9330494,313,273,220,271
1745248654.9692311,313,274,220,272
1745248655.033272,312,275,220,273
1745248655.0853386,311,272,218,270
1745248655.1439135,312,273,217,271
1745248655.197796,310,274,217,272
1745248655.2620919,311,274,217,272
1745248655.3124075,311,274,217,272
1745248655.36188,311,274,217,272
1745248655.4117858,311,274,216,272
1745248655.4627604,311,274,216,272
1745248655.507302,311,273,216,272
1745248655.5576828,311,273,215,272
1745248655.5984929,310,274,215,272
1745248655.6561048,310,273,215,272
1745248655.700613,309,275,214,273
1745248655.7615392,310,274,214,272
1745248655.8058338,309,274,213,272
1745248655.8550384,309,274,213,273
1745248655.927388,309,274,214,272
1745248655.9771285,309,273,214,271
1745248656.0363636,310,272,215,270
1745248656.0802188,311,273,216,271
1745248656.138818,310,274,216,272
1745248656.1888661,310,275,217,273
1745248656.2349467,312,273,217,271
1745248656.2824397,313,274,217,272
1745248656.3286872,312,275,217,273
1745248656.3759618,312,275,217,273
